time,flask,HCHO_in_plate,rep,cellcounts
20.5,A,4,A,21818.18182
20.5,A,4,B,20909.09091
20.5,A,4,C,21818.18182
20.5,B,0,A,236363636.4
20.5,B,0,B,245454545.5
20.5,B,0,C,272727272.7
20.5,B,2,A,163636363.6
20.5,B,2,B,227272727.3
20.5,B,2,C,172727272.7
20.5,B,4,A,63636.36364
20.5,B,4,B,72727.27273
20.5,B,4,C,72727.27273
20.5,C,0,A,290909090.9
20.5,C,0,B,272727272.7
20.5,C,0,C,300000000
20.5,C,2,A,236363636.4
20.5,C,2,B,163636363.6
20.5,C,2,C,163636363.6
20.5,C,4,A,381818.1818
20.5,C,4,B,545454.5455
20.5,C,4,C,327272.7273
20.5,D,0,A,63636363.64
20.5,D,0,B,63636363.64
20.5,D,0,C,81818181.82
20.5,D,2,A,72727272.73
20.5,D,2,B,41818181.82
20.5,D,2,C,45454545.45
20.5,D,4,A,418181.8182
20.5,D,4,B,372727.2727
20.5,D,4,C,1181818.182
20.5,E,0,A,72727272.73
20.5,E,0,B,63636363.64
20.5,E,0,C,27272727.27
20.5,E,2,A,45454545.45
20.5,E,2,B,90909090.91
20.5,E,2,C,54545454.55
20.5,E,4,A,636363.6364
20.5,E,4,B,636363.6364
20.5,E,4,C,1000000
20.5,F,0,A,81818181.82
20.5,F,0,B,63636363.64
20.5,F,0,C,145454545.5
20.5,F,2,A,81818181.82
20.5,F,2,B,127272727.3
20.5,F,2,C,90909090.91
20.5,F,4,A,818181.8182
20.5,F,4,B,909090.9091
20.5,F,4,C,390909.0909
20.5,G,0,A,8181.818182
20.5,G,0,B,4545.454545
20.5,G,0,C,3454.545455
20.5,G,2,A,1818.181818
20.5,G,2,B,2727.272727
20.5,G,2,C,4000
20.5,G,4,A,5454.545455
20.5,G,4,B,1818.181818
20.5,G,4,C,3000
20.5,H,0,A,3090.909091
20.5,H,0,B,2727.272727
20.5,H,0,C,3636.363636
20.5,H,2,A,2909.090909
20.5,H,2,B,4545.454545
20.5,H,2,C,1818.181818
20.5,H,4,A,2272.727273
20.5,H,4,B,2727.272727
20.5,H,4,C,2727.272727
20.5,I,0,A,6363.636364
20.5,I,0,B,4545.454545
20.5,I,0,C,3636.363636
20.5,I,2,A,3636.363636
20.5,I,2,B,4545.454545
20.5,I,2,C,4909.090909
20.5,I,4,A,3636.363636
20.5,I,4,B,5454.545455
20.5,I,4,C,3636.363636
20.5,D.1,0,A,47272727.27
20.5,D.1,0,B,45454545.45
20.5,D.1,0,C,36363636.36
20.5,D.1,2,A,44545454.55
20.5,D.1,2,B,45454545.45
20.5,D.1,2,C,40000000
20.5,D.1,4,A,309090.9091
20.5,D.1,4,B,300000
20.5,D.1,4,C,190909.0909
20.5,E.1,0,A,32727272.73
20.5,E.1,0,B,36363636.36
20.5,E.1,0,C,36363636.36
20.5,E.1,2,A,37272727.27
20.5,E.1,2,B,35454545.45
20.5,E.1,2,C,30909090.91
20.5,E.1,4,A,181818.1818
20.5,E.1,4,B,200000
20.5,E.1,4,C,218181.8182
20.5,F.1,0,A,63636363.64
20.5,F.1,0,B,81818181.82
20.5,F.1,0,C,44545454.55
20.5,F.1,2,A,36363636.36
20.5,F.1,2,B,54545454.55
20.5,F.1,2,C,40000000
20.5,F.1,4,A,136363.6364
20.5,F.1,4,B,90909.09091
20.5,F.1,4,C,63636.36364
24.5,D,0,A,118181818.2
24.5,D,0,B,118181818.2
24.5,D,0,C,145454545.5
24.5,D,2,A,90909090.91
24.5,D,2,B,81818181.82
24.5,D,2,C,118181818.2
24.5,D,4,A,218181.8182
24.5,D,4,B,336363.6364
24.5,D,4,C,281818.1818
24.5,E,0,A,118181818.2
24.5,E,0,B,154545454.5
24.5,E,0,C,118181818.2
24.5,E,2,A,109090909.1
24.5,E,2,B,163636363.6
24.5,E,2,C,118181818.2
24.5,E,4,A,209090.9091
24.5,E,4,B,263636.3636
24.5,E,4,C,254545.4545
24.5,F,0,A,218181818.2
24.5,F,0,B,172727272.7
24.5,F,0,C,190909090.9
24.5,F,2,A,145454545.5
24.5,F,2,B,200000000
24.5,F,2,C,154545454.5
24.5,F,4,A,236363.6364
24.5,F,4,B,145454.5455
24.5,F,4,C,145454.5455
24.5,G,0,A,5272.727273
24.5,G,0,B,9090.909091
24.5,G,0,C,7272.727273
24.5,G,2,A,6090.909091
24.5,G,2,B,4545.454545
24.5,G,2,C,3636.363636
24.5,G,4,A,5272.727273
24.5,G,4,B,6363.636364
24.5,G,4,C,1818.181818
24.5,H,0,A,6000
24.5,H,0,B,8181.818182
24.5,H,0,C,2727.272727
24.5,H,2,A,2727.272727
24.5,H,2,B,4545.454545
24.5,H,2,C,3181.818182
24.5,H,4,A,4363.636364
24.5,H,4,B,5454.545455
24.5,H,4,C,1818.181818
24.5,I,0,A,4727.272727
24.5,I,0,B,7272.727273
24.5,I,0,C,9090.909091
24.5,I,2,A,4727.272727
24.5,I,2,B,4545.454545
24.5,I,2,C,6363.636364
24.5,I,4,A,4454.545455
24.5,I,4,B,3636.363636
24.5,I,4,C,3636.363636
24.5,D.1,0,A,109090909.1
24.5,D.1,0,B,100000000
24.5,D.1,0,C,81818181.82
24.5,D.1,2,A,90909090.91
24.5,D.1,2,B,36363636.36
24.5,D.1,2,C,54545454.55
24.5,D.1,4,A,118181.8182
24.5,D.1,4,B,109090.9091
24.5,D.1,4,C,118181.8182
24.5,E.1,0,A,136363636.4
24.5,E.1,0,B,127272727.3
24.5,E.1,0,C,127272727.3
24.5,E.1,2,A,109090909.1
24.5,E.1,2,B,100000000
24.5,E.1,2,C,109090909.1
24.5,E.1,4,A,72727.27273
24.5,E.1,4,B,145454.5455
24.5,E.1,4,C,81818.18182
24.5,F.1,0,A,109090909.1
24.5,F.1,0,B,127272727.3
24.5,F.1,0,C,190909090.9
24.5,F.1,2,A,127272727.3
24.5,F.1,2,B,81818181.82
24.5,F.1,2,C,54545454.55
24.5,F.1,4,A,20909.09091
24.5,F.1,4,B,18181.81818
24.5,F.1,4,C,72727.27273
28.5,D,0,A,327272727.3
28.5,D,0,B,381818181.8
28.5,D,0,C,245454545.5
28.5,D,2,A,245454545.5
28.5,D,2,B,245454545.5
28.5,D,2,C,236363636.4
28.5,D,4,A,227272.7273
28.5,D,4,B,254545.4545
28.5,D,4,C,263636.3636
28.5,E,0,A,363636363.6
28.5,E,0,B,345454545.5
28.5,E,0,C,363636363.6
28.5,E,2,A,172727272.7
28.5,E,2,B,163636363.6
28.5,E,2,C,190909090.9
28.5,E,4,A,118181.8182
28.5,E,4,B,145454.5455
28.5,E,4,C,145454.5455
28.5,F,0,A,281818181.8
28.5,F,0,B,245454545.5
28.5,F,0,C,300000000
28.5,F,2,A,181818181.8
28.5,F,2,B,227272727.3
28.5,F,2,C,254545454.5
28.5,F,4,A,27272.72727
28.5,F,4,B,136363.6364
28.5,F,4,C,54545.45455
28.5,G,0,A,90.90909091
28.5,G,0,B,1363.636364
28.5,G,0,C,0
28.5,G,2,A,818.1818182
28.5,G,2,B,1818.181818
28.5,G,2,C,1818.181818
28.5,G,4,A,818.1818182
28.5,G,4,B,909.0909091
28.5,G,4,C,0
28.5,H,0,A,3636.363636
28.5,H,0,B,11818.18182
28.5,H,0,C,10000
28.5,H,2,A,13636.36364
28.5,H,2,B,7272.727273
28.5,H,2,C,8181.818182
28.5,H,4,A,4545.454545
28.5,H,4,B,11818.18182
28.5,H,4,C,4272.727273
28.5,I,0,A,12727.27273
28.5,I,0,B,10909.09091
28.5,I,0,C,10909.09091
28.5,I,2,A,13636.36364
28.5,I,2,B,10000
28.5,I,2,C,12727.27273
28.5,I,4,A,6363.636364
28.5,I,4,B,4818.181818
28.5,I,4,C,4545.454545
28.5,D.1,0,A,236363636.4
28.5,D.1,0,B,145454545.5
28.5,D.1,0,C,290909090.9
28.5,D.1,2,A,245454545.5
28.5,D.1,2,B,154545454.5
28.5,D.1,2,C,190909090.9
28.5,D.1,4,A,41818.18182
28.5,D.1,4,B,45454.54545
28.5,D.1,4,C,36363.63636
28.5,E.1,0,A,372727272.7
28.5,E.1,0,B,300000000
28.5,E.1,0,C,318181818.2
28.5,E.1,2,A,118181818.2
28.5,E.1,2,B,218181818.2
28.5,E.1,2,C,190909090.9
28.5,E.1,4,A,36363.63636
28.5,E.1,4,B,18181.81818
28.5,E.1,4,C,27272.72727
28.5,F.1,0,A,300000000
28.5,F.1,0,B,345454545.5
28.5,F.1,0,C,318181818.2
28.5,F.1,2,A,172727272.7
28.5,F.1,2,B,163636363.6
28.5,F.1,2,C,163636363.6
28.5,F.1,4,A,21818.18182
28.5,F.1,4,B,14545.45455
28.5,F.1,4,C,21818.18182
32.5,G,0,A,18181.81818
32.5,G,0,B,30000
32.5,G,0,C,32727.27273
32.5,G,2,A,30000
32.5,G,2,B,24545.45455
32.5,G,2,C,25454.54545
32.5,G,4,A,19090.90909
32.5,G,4,B,16363.63636
32.5,G,4,C,24545.45455
32.5,H,0,A,10909.09091
32.5,H,0,B,12727.27273
32.5,H,0,C,15454.54545
32.5,H,2,A,5454.545455
32.5,H,2,B,11818.18182
32.5,H,2,C,9090.909091
32.5,H,4,A,14545.45455
32.5,H,4,B,10909.09091
32.5,H,4,C,9090.909091
32.5,I,0,A,22727.27273
32.5,I,0,B,20909.09091
32.5,I,0,C,21818.18182
32.5,I,2,A,17272.72727
32.5,I,2,B,14545.45455
32.5,I,2,C,7272.727273
32.5,I,4,A,10909.09091
32.5,I,4,B,11818.18182
32.5,I,4,C,7272.727273
40.5,G,0,A,81818.18182
40.5,G,0,B,145454.5455
40.5,G,0,C,118181.8182
